timestamp,WQI8100XCL1.CPV,XI84201.PV,XI84202.PV,XI84123.PV,XI84124.PV,XI84125.PV,FX87211.CPV1,FIC87211.PV,FIC87211.SV,FX87211.P01,FI87208.PV,AIC88049.PV,ZI88001.PV,NIC88002.PV,PIC88007.PV,LIC88006.PV,AIC88055.PV,FIC88022.PV,DIC88023.PV,SI88033.PV,SI88034.PV,MQI88024.CPV,target
10592.0,I/O Timeout,118.917,76.4372,0.0560547,5.89687,29.6121,809.8134,4493.245,4525.67,19,28.41517,9.021267,-0.006390604,33.13252,11.97158,39.93316,-0.03424346,900.1735,55.4909,0.07256599,76.58425,776.6024,55.23544
10593.0,I/O Timeout,119.665,76.0018,0.0560547,5.89687,29.6121,809.9069,4524.19,4524.06,19,28.55971,8.99194,-0.006479118,33.1235,11.97129,39.92061,-0.03421028,900.7485,55.5043,0.07244181,76.22549,777.5633,55.2641
10594.0,I/O Timeout,120.088,76.206,0.0560547,6.22436,30.7154,810.0002,4550.6,4524.06,19,29.13136,9.006626,-0.00656763,33.1222,11.976,39.90807,-0.0341771,897.33,55.51203,0.07294662,76.6382,775.36,55.2825
10595.0,I/O Timeout,122.749,75.1875,0.0560547,6.22436,30.7154,810.0937,4542.4,4524.06,19,29.35674,9.009222,-0.006656144,33.1438,11.98387,39.90178,-0.03414392,901,55.5036,0.07132685,76.6069,777.7564,55.2371
18171.0,820.6668,126.788,74.062,2.90E-05,2.81E-06,Bad Input,794.0532,4382.09,4420.95,19,28.67243,8.980071,-0.005879068,32.51133,11.194,36.9935,0.02597007,863.391,55.9424,0.0754319,73.3329,753.6456,55.8176
21004.0,I/O Timeout,83.377,87.958,0.0625061,6.13945,30.6316,662.5558,3676.48,3680.88,19,28.71537,9.00675,-0.007307411,32.9941,11.14388,38.33488,0.02540467,715.987,55.5558,0.07504228,73.7671,618.8824,54.09322
21005.0,I/O Timeout,86.5313,86.9437,0.0625061,6.13945,30.6316,662.6694,3679.87,3684.41,19,28.88436,8.983025,-0.00712401,33.0279,11.0495,38.35172,0.02541508,719.047,55.5336,0.07444727,73.7186,621.1609,54.0883
21006.0,I/O Timeout,91.8673,85.2993,0.0625061,6.13945,30.6316,662.4562,3684.83,3688.05,19,28.99597,8.978447,-0.006940608,33.0697,10.9953,38.36855,0.02542549,721.561,55.5344,0.0736888,73.9217,623.2526,54.0981
21007.0,I/O Timeout,93.6048,84.6841,0.0625061,6.13945,30.6316,662.2429,3698.59,3691.45,19,29.0273,9.000943,-0.006757206,33.08157,10.9829,38.3854,0.0254359,723.202,55.52743,0.0747712,73.9821,624.328,54.1283
34470.0,837.2292,123.611,74.7999,0.06875,5.96878,33.2938,874.6979,4960.78,4975.46,19,32.13318,9.013534,0.000419268,23.8428,5.6086,25.42621,Scan Off,977.169,54.0297,0.08060671,67.1716,809.1246,55.1123
34471.0,828.8741,122.563,75.3079,0.06875,5.96878,33.2938,871.1319,4926.695,4959.59,19,32.18968,9.013523,-0.001113681,23.8764,5.59273,25.42602,Scan Off,977.955,54.0323,0.0800477,67.1549,809.0117,55.0888
34472.0,835.2119,125.352,74.6508,0.06875,5.96878,33.2938,868.3207,4964.03,4943.25,19,32.19828,9.011599,-0.002646629,23.879,5.58499,25.42583,Scan Off,975.293,53.9979,0.08089998,67.04395,807.6042,55.0555
34473.0,887.946,131.958,72.4614,0.06875,5.96878,33.2938,867.4063,4968.46,4927.2,19,32.30063,9.011446,-0.004179577,23.8978,5.41815,25.42563,Scan Off,973.149,53.9632,0.0798614,66.8711,804.113,55.04168
34474.0,869.2468,130.301,72.634,0.06875,5.96878,33.2938,866.514,4901.58,4913.3,19,32.16804,9.010183,-0.006971049,23.9261,5.45461,25.42545,Scan Off,970.853,53.9227,0.07970028,66.6182,801.2365,55.0123
34475.0,874.3911,128.618,73.4128,0.06875,5.96878,33.2938,866.9245,4899.21,4899.63,19,32.04272,9.00702,-0.006804437,23.93792,5.440351,25.42525,Scan Off,969.7525,53.9231,0.08059715,66.5761,799.8942,54.99461
34476.0,891.9479,128.942,73.2543,0.06875,6.08887,33.2609,867.335,4861.31,4888.55,19,32.15389,9.005915,-0.006637825,23.9295,5.41837,25.42506,Scan Off,971.221,53.9582,0.08063025,66.981,802.2547,55
34477.0,870.8745,128.392,73.3996,0.06875,6.09687,33.2501,867.7455,4871.99,4880.53,19,32.20342,9.01069,-0.006471214,23.9152,5.33412,25.42487,Scan Off,972.592,53.96464,0.08001913,67.1618,803.8172,55.0165
34478.0,896.3007,128.375,73.4279,0.06875,6.09687,33.2501,868.1561,4854.03,4873.78,19,32.00809,9.014598,-0.006304602,23.8838,5.2204,25.42468,Scan Off,973.01,53.98343,0.0800909,67.1811,804.861,55.0267
34479.0,897.8788,128.375,73.4279,0.06875,6.09687,33.2501,869.0476,4881.48,4868.94,19,32.13917,9.012666,-0.00613799,23.8622,5.44188,25.4223,Scan Off,973.5,53.9652,0.0802351,66.9814,804.7517,55.0193
34480.0,910.8099,128.375,73.4279,0.06875,6.09687,33.2501,870.3905,4842.325,4867.32,19,32.26318,9.003466,-0.005971379,23.8327,5.43522,25.42813,Scan Off,971.237,53.95648,0.08211707,67.0856,802.2169,54.9862
34481.0,884.603,128.115,73.5172,0.06875,6.09687,33.2501,871.814,4845.26,4865.79,19,32.27095,8.999165,-0.005804767,23.7945,5.39506,25.43396,Scan Off,971.916,53.9676,0.08120806,67.1612,802.8947,54.9576
34482.0,908.4139,125.982,74.1024,0.06875,6.09687,33.2501,874.8942,4859.75,4865.79,19,32.1822,8.999454,-0.005638156,23.7572,5.34782,25.43979,Scan Off,970.256,53.9379,0.07975881,67.1555,801.3633,54.9374
34483.0,905.7255,127.485,73.7561,0.06875,6.09687,33.2501,877.1672,4884.09,4868.93,19,32.40327,9.002378,-0.005471544,23.7115,5.37793,25.44561,Scan Off,968.074,53.8909,0.07921726,66.90405,797.9847,54.9059
34484.0,910.15,128.696,73.33,0.06875,5.86296,32.3815,878.2445,4854.22,4875.58,19,32.36754,9.00096,-0.006818869,23.68557,5.23773,25.45144,Scan Off,962.534,53.8151,0.0807503,66.5897,791.6649,54.89343
34485.0,928.4262,126.213,74.0966,0.06875,5.86296,32.3815,878.698,4894.69,4881.31,19,32.2871,9.003984,-0.006669996,23.665,5.28321,25.45727,Scan Off,959.864,53.78527,0.08069508,66.5503,788.5181,54.9113
34486.0,879.1174,126.188,74.1496,0.06875,5.86296,32.3815,879.1515,4892.06,4886.43,19,33.36659,9.000827,-0.006521123,23.6388,5.33117,25.4631,Scan Off,957.78,53.79741,0.08130175,66.675,787.5477,54.9382
34487.0,911.6936,131.748,72.4091,0.06875,5.86296,32.3815,879.605,4881.11,4891.67,19,33.41822,8.995462,-0.006372251,23.5913,5.344666,25.46893,Scan Off,958.062,53.7966,0.0803719,66.7545,788.4034,54.95093
34488.0,895.7017,129.88,72.8708,0.06875,5.86296,32.3815,880.0287,4857.81,4896.39,19,33.33244,8.992301,-0.006223378,23.5709,5.30645,25.47476,Scan Off,957.387,53.801,0.0811348,66.8419,788.0463,54.9606
34489.0,914.03,131.88,72.3936,0.06875,5.86296,32.3815,880.4247,4915.14,4899.69,19,33.47869,8.991274,-0.006074505,23.5676,5.31815,25.47877,Scan Off,961.572,53.8465,0.0823893,66.8878,792.0447,54.9849
34490.0,923.2776,131.199,72.5762,0.06875,5.86296,32.3815,880.8206,4902.93,4902.91,19,33.28445,8.988007,-0.005925633,23.57271,5.56408,25.41724,Scan Off,963.911,53.8956,0.0811621,67.1016,795.096,54.99341
